Date,Open,High,Low,Close,Adj Close,Volume
2024-01-22,2.222361,2.227439,2.113956,2.119117,2.119117,47991008
2024-01-23,2.119163,2.152929,2.097538,2.119718,2.119718,37826731
2024-01-24,2.119673,2.177819,2.101299,2.118640,2.118640,26573783
2024-01-25,2.118719,2.120317,2.030909,2.041440,2.041440,26870465
2024-01-26,2.041115,2.122613,2.040591,2.082216,2.082216,24764712
2024-01-27,2.082232,2.101776,2.060045,2.085301,2.085301,14590209
2024-01-28,2.084574,2.131485,2.083882,2.115976,2.115976,14950658
2024-01-29,2.115656,2.133504,2.107624,2.113724,2.113724,18493882
2024-01-30,2.113859,2.131991,2.082089,2.082599,2.082599,26131517
2024-01-31,2.082477,2.098649,2.056470,2.066532,2.066532,27904822
